symbol,companyName,industry,open,dayHigh,dayLow,lastPrice,previousClose,change,pChange,yearHigh,yearLow,totalTradedVolume,totalTradedValue,perChange365d,perChange30d
NIFTY 50,,,23168.25,23402.7,23132.8,23350.4,23190.65,159.75,0.69,26277.35,21281.45,540966316,510053717555.47,6.08,1.82
SBILIFE,SBI Life Insurance Company Limited,Life Insurance,1500.0,1553.3,1493.45,1549.75,1498.35,51.4,3.43,1936.0,1307.7,1977397,3030479546.32,5.34,4.8
NTPC,NTPC Limited,Power Generation,342.0,353.85,341.75,353.0,341.75,11.25,3.29,448.45,292.8,36406837,12692151514.94,8.09,11.59
ONGC,Oil & Natural Gas Corporation Limited,Oil Exploration & Production,235.8,248.0,235.8,242.0,235.59,6.41,2.72,345.0,215.48,29285333,7102864665.82,-7.81,1.73
BAJFINANCE,Bajaj Finance Limited,Non Banking Financial Company (NBFC),9039.95,9089.0,8831.0,8911.1,8679.65,231.45,2.67,9089.0,6375.7,2744801,24508135992.93,32.76,5.65
BPCL,Bharat Petroleum Corporation Limited,Refineries & Marketing,272.2,285.85,271.06,279.11,272.13,6.98,2.56,376.0,234.01,26173451,7304486705.08,-52.42,9.41
COALINDIA,Coal India Limited,Coal,396.4,411.1,395.1,405.85,396.4,9.45,2.38,543.55,349.25,16564019,6727145036.47,-6.17,11.9
SUNPHARMA,Sun Pharmaceutical Industries Limited,Pharmaceuticals,1759.0,1792.8,1750.25,1790.0,1750.25,39.75,2.27,1960.35,1377.2,2483162,4421245109.38,14.01,6.44
APOLLOHOSP,Apollo Hospitals Enterprise Limited,Hospital,6494.0,6634.1,6470.05,6615.0,6474.35,140.65,2.17,7545.35,5693.2,496635,3270351407.7,6.94,2.94
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers,7969.0,8151.0,7938.0,8080.0,7920.0,160.0,2.02,12774.0,7301.0,703280,5675202353.6,-7.8,-4.85
AXISBANK,Axis Bank Limited,Private Sector Bank,1054.35,1075.55,1050.55,1075.55,1054.35,21.2,2.01,1339.65,933.5,6848565,7304542457.7,3.34,5.81
NESTLEIND,Nestle India Limited,Packaged Foods,2240.9,2275.0,2231.95,2266.3,2221.55,44.75,2.01,2778.0,2110.0,792637,1793349138.87,-11.15,2.9
LT,Larsen & Toubro Limited,Civil Construction,3357.0,3455.0,3332.75,3415.05,3351.05,64.0,1.91,3963.5,3141.0,3042073,10392147258.22,-4.05,4.28
KOTAKBANK,Kotak Mahindra Bank Limited,Private Sector Bank,2040.0,2097.6,2035.0,2073.95,2035.65,38.3,1.88,2097.6,1543.85,18850808,39151054627.12,17.32,4.74
TATAMOTORS,Tata Motors Limited,Passenger Cars & Utility Vehicles,693.0,705.0,688.55,702.5,690.05,12.45,1.8,1179.0,606.3,14823483,10374807516.87,-27.15,3.22
EICHERMOT,Eicher Motors Limited,2/3 Wheelers,5249.15,5327.95,5230.35,5315.05,5229.35,85.7,1.64,5575.5,3821.0,414691,2195291215.8,35.39,10.3
POWERGRID,Power Grid Corporation of India Limited,Power - Transmission,281.0,285.15,280.05,284.05,280.35,3.7,1.32,366.25,247.3,26003527,7361078423.16,3.42,7.62
DRREDDY,Dr. Reddy's Laboratories Limited,Pharmaceuticals,1190.2,1204.65,1177.05,1202.25,1187.2,15.05,1.27,1421.49,1092.45,2313824,2765297338.88,-80.42,2.94
ICICIBANK,ICICI Bank Limited,Private Sector Bank,1316.0,1349.0,1311.6,1337.95,1321.7,16.25,1.23,1362.35,1048.1,60494318,81157967142.44,24.15,6.46
SHRIRAMFIN,Shriram Finance Limited,Non Banking Financial Company (NBFC),669.05,679.0,667.65,676.1,667.9,8.2,1.23,730.45,438.6,6365496,4286843281.2,-70.71,21.33
